1|1|5|30|1
2|1|6|30|1
3|1|7|30|1
4|1|8|30|1
5|1|9|30|1
6|1|10|30|1
7|1|11|30|1
8|1|12|30|1
9|1|13|30|1
10|1|14|30|1
11|1|15|30|1
12|2|5|30|1
13|2|6|30|1
14|2|7|30|1
15|2|8|30|1
16|2|9|30|1
17|2|10|30|1
18|2|17|30|1
19|2|18|30|1
20|2|19|30|1
21|3|5|30|1
22|3|6|30|1
23|3|7|30|1
24|3|8|30|1
25|3|9|30|1
26|4|5|30|1
27|4|6|30|1
28|5|5|30|1
29|6|15|30|1
30|6|16|30|1
31|6|17|30|1
32|6|18|30|1
33|7|19|30|1
34|8|5|30|1
35|9|6|30|1
36|10|15|30|0
37|10|16|30|0
38|10|17|30|1
39|10|18|30|1
40|11|19|30|1
41|12|5|30|1
42|13|6|30|1
43|14|15|30|1
44|15|16|30|1
45|16|17|30|1
46|17|18|30|1
47|18|19|30|1
48|19|5|30|1
49|20|6|30|1
50|20|15|30|1
